accent_id,form,normalized_form,base_form,accented_vowels,accent_count,accent_indexes,accent_position,vowel_ordinals_from_start,vowel_ordinals_from_end,source_field,field_index,token_ordinal,context_index,context,source_context,pair_id,alignment_status,alignment_confidence,entry_id,headword,classification,classification_family,translation,document_frequency,entry_frequency,source_code,source_document,page_start,page_end,source_status,validation_status
ACE-000028,acajíhuara,acajíhuara,acajihuara,í,1,4,Medial,3,4,Ejemplo RRM,1,2,5,Nijé acajíhuara,"Nijé acajíhuara, mis correas",PAR-000019-01-01,Alineado,Alta,RD-000019,Acajihua,Vr,Vr,Ponerse correas a los huaraches,1,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000029,Acaná,acaná,acana,á,1,4,Final,3,1,Ejemplo RRM,1,1,0,Acaná huichiri,"Acaná huichiri, se cayó boca abajo. ¡Acaná achá bitori! ¡Voltea el cajete (boca abajo)!",PAR-000021-01-01,Alineado,Alta,RD-000021,Acaná,Adv,Adv,Boca abajo,3,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000030,Acaná,acaná,acana,á,1,4,Final,3,1,Ejemplo RRM,2,1,1,¡Acaná achá bitori!,"Acaná huichiri, se cayó boca abajo. ¡Acaná achá bitori! ¡Voltea el cajete (boca abajo)!",PAR-000021-01-02,Revisión requerida,Baja,RD-000021,Acaná,Adv,Adv,Boca abajo,3,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000031,Acaná,acaná,acana,á,1,4,Final,3,1,Lema,1,1,0,Acaná,Acaná,,No aplica,No aplica,RD-000021,Acaná,Adv,Adv,Boca abajo,3,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000032,Acánami,acánami,acanami,á,1,2,Medial,2,3,Lema,1,1,0,Acánami,Acánami,,No aplica,No aplica,RD-000022,Acánami,Pp,Pp,"Aliviado (de pie, brazo, etc.), sano así",1,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000033,Acará,acará,acara,á,1,4,Final,3,1,Lema,1,1,0,Acará,Acará,,No aplica,No aplica,RD-000009,Acará,Vi,Vi,Poner (huaraches),4,4,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000034,Acará,acará,acara,á,1,4,Final,3,1,Lema,1,1,0,Acará,Acará,,No aplica,No aplica,RD-000023,Acará,Vt,Vt,Herrar,4,4,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000035,Acará,acará,acara,á,1,4,Final,3,1,Lema,1,1,0,Acará,Acará,,No aplica,No aplica,RD-000024,Acará,S,S,Rostro,4,4,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000036,acará,acará,acara,á,1,4,Final,3,1,Ejemplo RRM,1,2,6,Cahué acará.herradura. Cahué buquéami.,Cahué acará.herradura. Cahué buquéami. Dueño del caballo. Cahué cho'orá. El hocico del caballo. Cahué huasira. La cola del caballo Cahué muquira. Yegua. Cahué ropara. Vientre del caballo.,PAR-000379-01-01,Revisión requerida,Baja,RD-000379,Cahué,S,S,Caballo,4,4,SRC-02,DICCIONARIO raramuri.pdf,22,22,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000037,acárachi,acárachi,acarachi,á,1,2,Medial,2,3,Ejemplo RRM,2,1,6,Binoy acárachi,"Binoy acara, su cara. Binoy acárachi, en su cara. Véase cho'ó.",PAR-000006-01-02,Alineado,Alta,RD-000006,Acá,S,S,"Cara, nariz",2,2,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000038,acárachi,acárachi,acarachi,á,1,2,Medial,2,3,Ejemplo RRM,1,3,28,Rayénari jiti chóbari binoy acárachi.,Rayénari jiti chóbari binoy acárachi. Por el sol se quemó su cara. [pp.: chobácami].,PAR-000741-01-01,Alineado,Media,RD-000741,Choba,Vi,Vi,Quemarse (por el sol).,2,2,SRC-02,DICCIONARIO raramuri.pdf,37,37,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000039,achá,achá,acha,á,1,3,Final,2,1,Ejemplo RRM,2,2,7,¡Acaná achá bitori!,"Acaná huichiri, se cayó boca abajo. ¡Acaná achá bitori! ¡Voltea el cajete (boca abajo)!",PAR-000021-01-02,Revisión requerida,Baja,RD-000021,Acaná,Adv,Adv,Boca abajo,3,3,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000040,Achá,achá,acha,á,1,3,Final,2,1,Lema,1,1,0,Achá,Achá,,No aplica,No aplica,RD-000026,Achá,Vt,Vt,"Poner (una sola cosa o persona), colocar",3,3,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000041,achá,achá,acha,á,1,3,Final,2,1,Lema,1,2,10,Pe micabé achá,Pe micabé achá,,No aplica,No aplica,RD-001821,Pe micabé achá,Vt,Vt,Revisar,3,3,SRC-02,DICCIONARIO raramuri.pdf,69,69,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000042,Achagó,achagó,achago,ó,1,5,Final,3,1,Lema,1,1,0,Achagó,Achagó,,No aplica,No aplica,RD-000027,Achagó,S,S,Una mata espinosa (semejante a la manzanilla; las chivas comen las ramitas),1,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000043,Achagóachi,achagóachi,achagoachi,ó,1,5,Medial,3,3,Ejemplo RRM,1,1,0,Achagóachi,"Achagóachi, lugar donde hay esa mata.",PAR-000027-01-01,Alineado,Alta,RD-000027,Achagó,S,S,Una mata espinosa (semejante a la manzanilla; las chivas comen las ramitas),1,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000044,achámani,achámani,achamani,á,1,3,Medial,2,3,Ejemplo RRM,1,2,8,Echo'ná achámani,"Echo'ná achámani, voy a ponerlo allí. Nijeni naquiri echo'ná achayá, yo quería ponerlo allí. Echo'ná achárati, fue puesto allí. Sicochi achari rité, puso la piedra en el rincón. [pl.: muchuhua]",PAR-000026-01-01,Alineado,Alta,RD-000026,Achá,Vt,Vt,"Poner (una sola cosa o persona), colocar",2,2,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000045,achámani,achámani,achamani,á,1,3,Medial,2,3,Ejemplo RRM,2,4,19,Rojuá baníraga ipó achámani.,"Huíiga baníramani cahué. Voy a llevar el caballo jalandolo. Rojuá baníraga ipó achámani. Arrastrando ramas de encino, voy a echarlas en el barbecho para quemarlas ahí. [pret.: banírari; fut.: banírama, banagá]",PAR-000182-01-02,Alineado,Media,RD-000182,Banira,Vt,Vt,"Arrastrar, llevar (jalando con mecate).",2,2,SRC-02,DICCIONARIO raramuri.pdf,13,13,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000046,achárati,achárati,acharati,á,1,3,Medial,2,3,Ejemplo RRM,3,2,8,Echo'ná achárati,"Echo'ná achámani, voy a ponerlo allí. Nijeni naquiri echo'ná achayá, yo quería ponerlo allí. Echo'ná achárati, fue puesto allí. Sicochi achari rité, puso la piedra en el rincón. [pl.: muchuhua]",PAR-000026-01-03,Alineado,Alta,RD-000026,Achá,Vt,Vt,"Poner (una sola cosa o persona), colocar",1,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000047,achayá,achayá,achaya,á,1,5,Final,3,1,Ejemplo RRM,2,2,23,Nijeni naquiri echo'ná achayá,"Echo'ná achámani, voy a ponerlo allí. Nijeni naquiri echo'ná achayá, yo quería ponerlo allí. Echo'ná achárati, fue puesto allí. Sicochi achari rité, puso la piedra en el rincón. [pl.: muchuhua]",PAR-000026-01-02,Alineado,Alta,RD-000026,Achá,Vt,Vt,"Poner (una sola cosa o persona), colocar",1,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000048,Achí,achí,achi,í,1,3,Final,2,1,Lema,1,1,0,Achí,Achí,,No aplica,No aplica,RD-000030,Achí,Vt,Vt,"Reír, sonreír",1,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000049,Achíami,achíami,achiami,í,1,3,Medial,2,3,Lema,1,1,0,Achíami,Achíami,,No aplica,No aplica,RD-000031,Achíami,Adj,Adj,Risueño,1,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000050,Achigó,achigó,achigo,ó,1,5,Final,3,1,Lema,1,1,0,Achigó yiri ju,Achigó yiri ju,,No aplica,No aplica,RD-000032,Achigó yiri ju,,Sin clasificar,Es igual,1,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000051,achigórigá,achigórigá,achigoriga,ó|á,2,5|9,Múltiple,3|5,3|1,Ejemplo RRM,1,2,31,Echi rijoy nihuari biré namuti achigórigá mapurigá rihuari echo'ná huarúrachi,"Echi rijoy nihuari biré namuti achigórigá mapurigá rihuari echo'ná huarúrachi, ese hombre hizo una cosa de la misma manera que vió en la ciudad.",PAR-000033-01-01,Alineado,Alta,RD-000033,Achigórigá,Adv,Adv,"De la misma manera, así también",2,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000052,Achigórigá,achigórigá,achigoriga,ó|á,2,5|9,Múltiple,3|5,3|1,Lema,1,1,0,Achigórigá,Achigórigá,,No aplica,No aplica,RD-000033,Achigórigá,Adv,Adv,"De la misma manera, así también",2,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000053,acuéstense,acuéstense,acuestense,é,1,3,Medial,3,3,Ejemplo RRM,4,2,8,Bitisí ¡acuéstense!,"Ri'ré huichí bitir, se acostaron en la tierra. Hui'rique rocogó bitíbari cochiboa, ya muy de noche se acostaron a dormir. [sing.: bu'huí; fut.: bitimea]. Bitibama, se acostarán. Bitisí ¡acuéstense!",PAR-000285-01-04,Revisión requerida,Baja,RD-000285,Bití,Vi pl,Vi,Estar acostados (varios),1,1,SRC-02,DICCIONARIO raramuri.pdf,18,18,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000054,Ahuínari,ahuínari,ahuinari,í,1,3,Medial,3,3,Lema,1,1,0,Ahuínari,Ahuínari,,No aplica,No aplica,RD-000035,Ahuínari,Adv pl,Adv,Solos,1,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000055,Ajó,ajó,ajo,ó,1,2,Final,2,1,Lema,1,1,0,Ajó,Ajó,,No aplica,No aplica,RD-000037,Ajó,Vt,Vt,Desgranar maíz,2,2,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000056,Ajó,ajó,ajo,ó,1,2,Final,2,1,Lema,1,1,0,Ajó,Ajó,,No aplica,No aplica,RD-000038,Ajó,S,S,"Mosquito, zancudo",2,2,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000057,Amá,amá,ama,á,1,2,Final,2,1,Lema,1,1,0,Amá,Amá,,No aplica,No aplica,RD-000041,Amá,S,S,Hígado,1,1,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000058,Amachí,amachí,amachi,í,1,5,Final,3,1,Lema,1,1,0,Amachí,Amachí,,No aplica,No aplica,RD-000043,Amachí,Vt,Vt,Rezar,1,1,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000059,Amachícarahuami,amachícarahuami,amachicarahuami,í,1,5,Medial,3,6,Lema,1,1,0,Amachícarahuami,Amachícarahuami,,No aplica,No aplica,RD-000044,Amachícarahuami,Adj,Adj,Perteneciente a la acción de rezar,1,1,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000060,Amándole,amándole,amandole,á,1,2,Medial,2,3,Ejemplo RRM,4,2,8,Carigá. Amándole. Carécahuami.,Échi tohuí ne huabé caré binoy iyera. Ese niño ama mucho a su mamá. Véase garé. Carigá. Amándole. Carécahuami. Amado.,PAR-000433-01-04,Alineado,Baja,RD-000433,Caré,Vt,Vt,"Amar, tener cariño",1,1,SRC-02,DICCIONARIO raramuri.pdf,25,25,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000061,amará,amará,amara,á,1,4,Final,3,1,Ejemplo RRM,1,2,7,Huáasi amará,"Huáasi amará, hígado de vaca",PAR-000042-01-01,Alineado,Alta,RD-000042,Amaré,Vi,Vi,Tener hígado,1,1,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000062,Amaré,amaré,amare,é,1,4,Final,3,1,Lema,1,1,0,Amaré,Amaré,,No aplica,No aplica,RD-000042,Amaré,Vi,Vi,Tener hígado,1,1,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000063,Amarú,amarú,amaru,ú,1,4,Final,3,1,Lema,1,1,0,Amarú,Amarú,,No aplica,No aplica,RD-000045,Amarú,Vi,Vi,Estar entero,1,1,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000064,amarúami,amarúami,amaruami,ú,1,4,Medial,3,3,Ejemplo RRM,1,5,27,Auchériga atí bachí; abijí amarúami ju,"Auchériga atí bachí; abijí amarúami ju, así está la cabalaza; todavía está enter.",PAR-000045-01-01,Alineado,Alta,RD-000045,Amarú,Vi,Vi,Estar entero,2,2,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000065,Amarúami,amarúami,amaruami,ú,1,4,Medial,3,3,Lema,1,1,0,Amarúami,Amarúami,,No aplica,No aplica,RD-000046,Amarúami,Adj,Adj,Entero,2,2,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000066,Amí,amí,ami,í,1,2,Final,2,1,Ejemplo RRM,2,1,1,¡Amí!,"Nijeni simea huenomí ámia, voy a buscar dinero Símabo huenomí ábia, vamos a buscar dinero. ¡Amí!, ¡Vaya a buscarlo! Ámia simiri, fue a buscarlo.",PAR-000047-01-02,Alineado,Alta,RD-000047,Amí,Vt,Vt,Buscar,2,1,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000067,Amí,amí,ami,í,1,2,Final,2,1,Lema,1,1,0,Amí,Amí,,No aplica,No aplica,RD-000047,Amí,Vt,Vt,Buscar,2,1,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo ortográfico y prosódico
