saltillo_id,form,normalized_form,search_form,saltillo_glyphs,saltillo_count,position,saltillo_indexes,source_field,field_index,token_ordinal,context_index,context,entry_id,headword,classification,classification_family,translation,document_frequency,entry_frequency,source_code,source_document,page_start,page_end,source_status,validation_status
SAL-000011,a´lara,aʼlara,aʼlara,´,1,Medial,1,Ejemplo,1,1,6,Véase a´lara,RD-000430,Ca’rara,Vt,Vt,Mejorar,2,2,SRC-02,DICCIONARIO raramuri.pdf,25,25,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000012,a'larabo,aʼlarabo,aʼlarabo,',1,Medial,1,Ejemplo,1,1,29,"Hue charé buhué; auchecho cu a'larabo, está muy malo el camino; lo arreglaremos. Vease ca'rara",RD-000039,A'lara,Vt,Vt,"Mejorar, arreglar, preparar",1,1,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000013,A’nabáa,aʼnabáa,aʼnabaa,’,1,Medial,1,Lema,1,1,0,A’nabáa,RD-000052,A’nabáa,Vi,Vi,Juntarse,1,1,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000014,a’nabáari,aʼnabáari,aʼnabaari,’,1,Medial,1,Ejemplo,1,2,24,"Jena’í piréami pagótami a’nabáari echo’ná comurachi, la gente de aquí se juntó en la casa de la comunidad",RD-000052,A’nabáa,Vi,Vi,Juntarse,1,1,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000015,A’nagú,aʼnagú,aʼnagu,’,1,Medial,1,Lema,1,1,0,A’nagú,RD-000055,A’nagú,Adv,Adv,"Mutuamente, unos a otros",1,1,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000016,A’nahuí,aʼnahuí,aʼnahui,’,1,Medial,1,Ejemplo,1,1,0,"A’nahuí ochérari, nacieron al mismo tiempo. Ne a’nahuí buyari, salieron al mismo tiempo. Ocuánica ne a'nahuí ju, los dos son iguales. A'nahuí ju, son iguales",RD-000058,A’nahuí,Adv,Adv,1. Al mismo tiempo 2. igual,5,1,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000017,a’nahuí,aʼnahuí,aʼnahui,’,1,Medial,1,Ejemplo,1,2,47,"A’nahuí ochérari, nacieron al mismo tiempo. Ne a’nahuí buyari, salieron al mismo tiempo. Ocuánica ne a'nahuí ju, los dos son iguales. A'nahuí ju, son iguales",RD-000058,A’nahuí,Adv,Adv,1. Al mismo tiempo 2. igual,5,1,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000018,a'nahuí,aʼnahuí,aʼnahui,',1,Medial,1,Ejemplo,1,3,101,"A’nahuí ochérari, nacieron al mismo tiempo. Ne a’nahuí buyari, salieron al mismo tiempo. Ocuánica ne a'nahuí ju, los dos son iguales. A'nahuí ju, son iguales",RD-000058,A’nahuí,Adv,Adv,1. Al mismo tiempo 2. igual,5,1,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000019,A'nahuí,aʼnahuí,aʼnahui,',1,Medial,1,Ejemplo,1,4,134,"A’nahuí ochérari, nacieron al mismo tiempo. Ne a’nahuí buyari, salieron al mismo tiempo. Ocuánica ne a'nahuí ju, los dos son iguales. A'nahuí ju, son iguales",RD-000058,A’nahuí,Adv,Adv,1. Al mismo tiempo 2. igual,5,1,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000020,A’nahuí,aʼnahuí,aʼnahui,’,1,Medial,1,Lema,1,1,0,A’nahuí,RD-000058,A’nahuí,Adv,Adv,1. Al mismo tiempo 2. igual,5,1,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000021,A'najata,aʼnajata,aʼnajata,',1,Medial,1,Lema,1,1,0,A'najata,RD-000059,A'najata,Vt,Vt,Perseguir,1,1,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000022,a'najátabo,aʼnajátabo,aʼnajatabo,',1,Medial,1,Ejemplo,1,1,37,"Echi rijoy quimá chigósari, echijiti a'najátabo, ese hombre se robó una cobija; por eso lo perseguiremos. [pret.: a'najátari; fut.: a’najátama]",RD-000059,A'najata,Vt,Vt,Perseguir,1,1,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000023,a’najátama,aʼnajátama,aʼnajatama,’,1,Medial,1,Ejemplo,1,3,132,"Echi rijoy quimá chigósari, echijiti a'najátabo, ese hombre se robó una cobija; por eso lo perseguiremos. [pret.: a'najátari; fut.: a’najátama]",RD-000059,A'najata,Vt,Vt,Perseguir,2,1,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000024,a’najátama,aʼnajátama,aʼnajatama,’,1,Medial,1,Variante,1,2,25,pret.: a'najátari; fut.: a’najátama,RD-000059,A'najata,Vt,Vt,Perseguir,2,1,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000025,a'najátari,aʼnajátari,aʼnajatari,',1,Medial,1,Ejemplo,1,2,114,"Echi rijoy quimá chigósari, echijiti a'najátabo, ese hombre se robó una cobija; por eso lo perseguiremos. [pret.: a'najátari; fut.: a’najátama]",RD-000059,A'najata,Vt,Vt,Perseguir,2,1,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000026,a'najátari,aʼnajátari,aʼnajatari,',1,Medial,1,Variante,1,1,7,pret.: a'najátari; fut.: a’najátama,RD-000059,A'najata,Vt,Vt,Perseguir,2,1,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000027,A'namótami,aʼnamótami,aʼnamotami,',1,Medial,1,Lema,1,1,0,A'namótami,RD-000060,A'namótami,Adv,Adv,Uno encima del otro,1,1,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000028,a'namótana,aʼnamótana,aʼnamotana,',1,Medial,1,Ejemplo,1,1,9,"Napabuca a'namótana muchúhuari, las puso una encima de la otra, haciendo un montón.",RD-000061,A'namótana,Vt,Vt,Poner (uno encima del otro),2,1,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000029,A'namótana,aʼnamótana,aʼnamotana,',1,Medial,1,Lema,1,1,0,A'namótana,RD-000061,A'namótana,Vt,Vt,Poner (uno encima del otro),2,1,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000030,a'nayáhuari,aʼnayáhuari,aʼnayahuari,',1,Medial,1,Ejemplo,1,4,173,"Jaré rarámuri mayé mapu echi jaré qui'yá piréami pagótami arihuá abijí 'yena jena'í, echijiti maparí echi jaré rarámuri huabé majajáratami ju, rocogó niráa, aboni mayé mapu a'nayáhuari 'yena. Algunos tarahumaras creen que los espíritus de los que vivieron hace mucho todavía andan aquí, por eso, cuando ellos están muy asustados en la noche, creen que los espíritus de los antepasados andan por ahí.",RD-000063,A'nayáhuari,S pl,S,"Los que vivieron hace mucho, los espíritus de los antepasados",2,1,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000031,A'nayáhuari,aʼnayáhuari,aʼnayahuari,',1,Medial,1,Lema,1,1,0,A'nayáhuari,RD-000063,A'nayáhuari,S pl,S,"Los que vivieron hace mucho, los espíritus de los antepasados",2,1,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000032,a'rínaromí,aʼrínaromí,aʼrinaromi,',1,Medial,1,Ejemplo,1,1,32,"Maparimi cu simiri, que ayó, pe a'rínaromí échico nahuarí, a poco de haberse ido usted, llegó él.",RD-000099,A'rínaromí,Adv,Adv,Al poco rato,2,1,SRC-02,DICCIONARIO raramuri.pdf,8,8,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000033,A'rínaromí,aʼrínaromí,aʼrinaromi,',1,Medial,1,Lema,1,1,0,A'rínaromí,RD-000099,A'rínaromí,Adv,Adv,Al poco rato,2,1,SRC-02,DICCIONARIO raramuri.pdf,8,8,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000034,a’yapi,aʼyapi,aʼyapi,’,1,Medial,1,Ejemplo,1,1,23,"Maparí nachútari sunú, a’yapi sísari echi pagótuami. Cuando hicieron distribución del maíz, la gente llegaba una tras otra.",RD-000122,A’yapi,,Sin clasificar,Uno tras otro,2,1,SRC-02,DICCIONARIO raramuri.pdf,9,9,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000035,A’yapi,aʼyapi,aʼyapi,’,1,Medial,1,Lema,1,1,0,A’yapi,RD-000122,A’yapi,,Sin clasificar,Uno tras otro,2,1,SRC-02,DICCIONARIO raramuri.pdf,9,9,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000036,Ba'arí,baʼarí,baʼari,',1,Medial,2,Ejemplo,1,1,0,Ba'arí bi'yá mañana temprano. Ba'arí piché hasta mañana,RD-000125,Ba'arí,Adv,Adv,Mañana.,6,4,SRC-02,DICCIONARIO raramuri.pdf,9,9,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000037,Ba'arí,baʼarí,baʼari,',1,Medial,2,Ejemplo,1,3,30,Ba'arí bi'yá mañana temprano. Ba'arí piché hasta mañana,RD-000125,Ba'arí,Adv,Adv,Mañana.,6,4,SRC-02,DICCIONARIO raramuri.pdf,9,9,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000038,Ba'arí,baʼarí,baʼari,',1,Medial,2,Lema,1,1,0,Ba'arí,RD-000125,Ba'arí,Adv,Adv,Mañana.,6,4,SRC-02,DICCIONARIO raramuri.pdf,9,9,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000039,Ba'arí,baʼarí,baʼari,',1,Medial,2,Ejemplo,1,2,26,Echo'ná huarú maní suguí. Ba'arí bajima huareco. Allí hay mucho tesgüino. Tal vez van a tomar mañana. Bajimani ba'huí. Voy a tomar agua.,RD-000158,Bají,Vi,Vi,"Tomar, beber (tesgüino, agua)",6,4,SRC-02,DICCIONARIO raramuri.pdf,11,11,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000040,Ba'arí,baʼarí,baʼari,',1,Medial,2,Ejemplo,1,2,46,Bi'yá bijini busureri. Muy temprano desperté. Ba'arí bi'yá nimí busurébanama. Mañana temprano te voy a despertar. [pret.: busuré; fut.: busuméa],RD-000349,Busá,Vi,Vi,Despertarse,6,4,SRC-02,DICCIONARIO raramuri.pdf,21,21,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000041,Ba’arí,baʼarí,baʼari,’,1,Medial,2,Ejemplo,1,2,57,Ma ocuá chi’reri. Ya hace dos días (pasaron dos noches). Ba’arí nahuó chi’rema. Mañana va a hacer cuatro días. Ocuá chi’rigá cu norínamani. Después de dos días regresaré.,RD-000721,Chi’ré,Vi,Vi,"1. pasar (un tiempo), pernoctar",6,4,SRC-02,DICCIONARIO raramuri.pdf,36,36,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000042,ba'arínara,baʼarínara,baʼarinara,',1,Medial,2,Ejemplo,1,1,22,"Maparí huarú quipari, ba'arínara huabé ruráari. Al día siguiente de la gran nevada hizo mucho frío.",RD-000126,Ba'arínara,,Sin clasificar,Al siguiente día (en el pasado) por la mañana,2,1,SRC-02,DICCIONARIO raramuri.pdf,9,9,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000043,Ba'arínara,baʼarínara,baʼarinara,',1,Medial,2,Lema,1,1,0,Ba'arínara,RD-000126,Ba'arínara,,Sin clasificar,Al siguiente día (en el pasado) por la mañana,2,1,SRC-02,DICCIONARIO raramuri.pdf,9,9,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000044,ba'hué,baʼhué,baʼhue,',1,Medial,2,Ejemplo,1,2,39,"Echo'ná huabé huaquichéami ju, quetasi ba'hué. Allí está muy seco, no hay agua. [pret.: ba'huéari; fut.: ba'huérama]",RD-000150,Ba'hué,Vi,Vi,Hay agua,2,1,SRC-02,DICCIONARIO raramuri.pdf,10,10,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000045,Ba'hué,baʼhué,baʼhue,',1,Medial,2,Lema,1,1,0,Ba'hué,RD-000150,Ba'hué,Vi,Vi,Hay agua,2,1,SRC-02,DICCIONARIO raramuri.pdf,10,10,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000046,ba'huéari,baʼhuéari,baʼhueari,',1,Medial,2,Ejemplo,1,3,88,"Echo'ná huabé huaquichéami ju, quetasi ba'hué. Allí está muy seco, no hay agua. [pret.: ba'huéari; fut.: ba'huérama]",RD-000150,Ba'hué,Vi,Vi,Hay agua,2,1,SRC-02,DICCIONARIO raramuri.pdf,10,10,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000047,ba'huéari,baʼhuéari,baʼhueari,',1,Medial,2,Variante,1,1,7,pret.: ba'huéari; fut.: ba'huérama,RD-000150,Ba'hué,Vi,Vi,Hay agua,2,1,SRC-02,DICCIONARIO raramuri.pdf,10,10,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000048,ba’huechi,baʼhuechi,baʼhuechi,’,1,Medial,2,Ejemplo,1,3,131,Huarú bu’huíbari ba’huí. Creció mucho el arroyo. Huarú ucuri. Llovió mucho. Huarú sapéami ju. Está muy gordo. [pl.: ohuari]. Huarú ba’huechi. Mar. Huarú bahuechi suhué. Orilla del mar. Huarú chipérami. Como una tabla ancha. Huarú ritérari. Peñasco. Huarú sapéami. Panzón.,RD-000912,Huarú,Adj sing,Adj,"Grande, mucho, muy",1,1,SRC-02,DICCIONARIO raramuri.pdf,43,44,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000049,ba'huérama,baʼhuérama,baʼhuerama,',1,Medial,2,Ejemplo,1,4,105,"Echo'ná huabé huaquichéami ju, quetasi ba'hué. Allí está muy seco, no hay agua. [pret.: ba'huéari; fut.: ba'huérama]",RD-000150,Ba'hué,Vi,Vi,Hay agua,2,1,SRC-02,DICCIONARIO raramuri.pdf,10,10,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000050,ba'huérama,baʼhuérama,baʼhuerama,',1,Medial,2,Variante,1,2,24,pret.: ba'huéari; fut.: ba'huérama,RD-000150,Ba'hué,Vi,Vi,Hay agua,2,1,SRC-02,DICCIONARIO raramuri.pdf,10,10,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000051,Ba'huí,baʼhuí,baʼhui,',1,Medial,2,Ejemplo,1,1,0,"Ba'huí túmani. Voy a traer agua. Ba'huí bají toma agua. Ba'huí huichirachi cascada. Ba'huí machina mana agua (p.ej.: de manantial). Ba'huí ro'hué riega. Ba'huí tuma trae agua. Huasí ba'huira jugo de fruta. Ba'huichí vi caer el sereno Jipi ma bará ju. Sinibí rahué bi'yá hue ba'huichí. Ahora es el tiempo de aguas. Todos los días, temprano, cae mucho sereno.",RD-000151,Ba'huí,S,S,Agua,19,13,SRC-02,DICCIONARIO raramuri.pdf,10,11,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000052,Ba'huí,baʼhuí,baʼhui,',1,Medial,2,Ejemplo,1,2,33,"Ba'huí túmani. Voy a traer agua. Ba'huí bají toma agua. Ba'huí huichirachi cascada. Ba'huí machina mana agua (p.ej.: de manantial). Ba'huí ro'hué riega. Ba'huí tuma trae agua. Huasí ba'huira jugo de fruta. Ba'huichí vi caer el sereno Jipi ma bará ju. Sinibí rahué bi'yá hue ba'huichí. Ahora es el tiempo de aguas. Todos los días, temprano, cae mucho sereno.",RD-000151,Ba'huí,S,S,Agua,19,13,SRC-02,DICCIONARIO raramuri.pdf,10,11,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000053,Ba'huí,baʼhuí,baʼhui,',1,Medial,2,Ejemplo,1,3,56,"Ba'huí túmani. Voy a traer agua. Ba'huí bají toma agua. Ba'huí huichirachi cascada. Ba'huí machina mana agua (p.ej.: de manantial). Ba'huí ro'hué riega. Ba'huí tuma trae agua. Huasí ba'huira jugo de fruta. Ba'huichí vi caer el sereno Jipi ma bará ju. Sinibí rahué bi'yá hue ba'huichí. Ahora es el tiempo de aguas. Todos los días, temprano, cae mucho sereno.",RD-000151,Ba'huí,S,S,Agua,19,13,SRC-02,DICCIONARIO raramuri.pdf,10,11,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000054,Ba'huí,baʼhuí,baʼhui,',1,Medial,2,Ejemplo,1,4,84,"Ba'huí túmani. Voy a traer agua. Ba'huí bají toma agua. Ba'huí huichirachi cascada. Ba'huí machina mana agua (p.ej.: de manantial). Ba'huí ro'hué riega. Ba'huí tuma trae agua. Huasí ba'huira jugo de fruta. Ba'huichí vi caer el sereno Jipi ma bará ju. Sinibí rahué bi'yá hue ba'huichí. Ahora es el tiempo de aguas. Todos los días, temprano, cae mucho sereno.",RD-000151,Ba'huí,S,S,Agua,19,13,SRC-02,DICCIONARIO raramuri.pdf,10,11,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000055,Ba'huí,baʼhuí,baʼhui,',1,Medial,2,Ejemplo,1,5,132,"Ba'huí túmani. Voy a traer agua. Ba'huí bají toma agua. Ba'huí huichirachi cascada. Ba'huí machina mana agua (p.ej.: de manantial). Ba'huí ro'hué riega. Ba'huí tuma trae agua. Huasí ba'huira jugo de fruta. Ba'huichí vi caer el sereno Jipi ma bará ju. Sinibí rahué bi'yá hue ba'huichí. Ahora es el tiempo de aguas. Todos los días, temprano, cae mucho sereno.",RD-000151,Ba'huí,S,S,Agua,19,13,SRC-02,DICCIONARIO raramuri.pdf,10,11,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000056,Ba'huí,baʼhuí,baʼhui,',1,Medial,2,Ejemplo,1,7,153,"Ba'huí túmani. Voy a traer agua. Ba'huí bají toma agua. Ba'huí huichirachi cascada. Ba'huí machina mana agua (p.ej.: de manantial). Ba'huí ro'hué riega. Ba'huí tuma trae agua. Huasí ba'huira jugo de fruta. Ba'huichí vi caer el sereno Jipi ma bará ju. Sinibí rahué bi'yá hue ba'huichí. Ahora es el tiempo de aguas. Todos los días, temprano, cae mucho sereno.",RD-000151,Ba'huí,S,S,Agua,19,13,SRC-02,DICCIONARIO raramuri.pdf,10,11,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000057,Ba'huí,baʼhuí,baʼhui,',1,Medial,2,Lema,1,1,0,Ba'huí,RD-000151,Ba'huí,S,S,Agua,19,13,SRC-02,DICCIONARIO raramuri.pdf,10,11,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000058,ba'huí,baʼhuí,baʼhui,',1,Medial,2,Ejemplo,1,3,111,Echo'ná huarú maní suguí. Ba'arí bajima huareco. Allí hay mucho tesgüino. Tal vez van a tomar mañana. Bajimani ba'huí. Voy a tomar agua.,RD-000158,Bají,Vi,Vi,"Tomar, beber (tesgüino, agua)",19,13,SRC-02,DICCIONARIO raramuri.pdf,11,11,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000059,Ba'huí,baʼhuí,baʼhui,',1,Medial,2,Ejemplo,1,1,51,¿Acha bajíhuami ju? ¿Se puede tomar? (es potable). Ba'huí bajíhuami agua potable.,RD-000165,Bajíhuami,Adj,Adj,Potable (bebida),19,13,SRC-02,DICCIONARIO raramuri.pdf,12,12,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000060,Ba'huí,baʼhuí,baʼhui,',1,Medial,2,Ejemplo,1,1,0,"Ba'huí hue banagué. Hay mucha lama en el agua. Jipi hue nirú banagá echo'ná comichi. Ahora hay mucha lama allí, en el arroyo. Banagué vi hay lama.",RD-000175,Banagá,S,S,"Lama, moho",19,13,SRC-02,DICCIONARIO raramuri.pdf,12,12,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000061,ba'huí,baʼhuí,baʼhui,',1,Medial,2,Ejemplo,1,1,36,"Huabeni barami, mapujiti quetasi te ba'huí. Tengo mucha sed, porque no hay agua. [fut.: barámama]",RD-000190,Barami,Vi,Vi,Tener sed,19,13,SRC-02,DICCIONARIO raramuri.pdf,13,13,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000062,ba'huí,baʼhuí,baʼhui,',1,Medial,2,Ejemplo,1,1,14,"Ma quetasi te ba'huí, quiparí basunabo. Ya no tenemos agua; vamos a derretir nieve",RD-000204,Basoná,Vt,Vt,Derretir,19,13,SRC-02,DICCIONARIO raramuri.pdf,14,14,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000063,ba'huí,baʼhuí,baʼhui,',1,Medial,2,Ejemplo,1,2,24,"Maparí huabé bu'huíbari ba'huí, nijeni arigá boioniri. Cuando estaba muy crecida el agua, yo siempre pasaba al otro lado vadeando.",RD-000299,Boioní,Vi,Vi,"Pasar a pie al otro lado del agua, vadear",19,13,SRC-02,DICCIONARIO raramuri.pdf,18,19,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000064,ba'huí,baʼhuí,baʼhui,',1,Medial,2,Ejemplo,1,2,24,"Maparí huarú bu'huíbari ba'huí, ne huabé boríbari. Cuando creció mucho el arroyo, corrió mucha agua.",RD-000311,Boriba,Vi,Vi,Correr el agua (en una corriente),19,13,SRC-02,DICCIONARIO raramuri.pdf,19,19,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000065,ba'huí,baʼhuí,baʼhui,',1,Medial,2,Ejemplo,1,2,47,"Jena'í buhuechí pée cobímani, mapujiti tasi te ba'huí. Aquí en el camino voy a comer un poco de pinole seco porque no hay agua.",RD-000477,Cobí,Vi,Vi,Comer pinole seco,19,13,SRC-02,DICCIONARIO raramuri.pdf,26,26,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000066,Ba’huí,baʼhuí,baʼhui,’,1,Medial,2,Ejemplo,1,1,0,"Ba’huí ma comitánari na’í, el agua ya hizo un arroyo aquí. [pp: comíami] Comítami, hecho cóncavo.",RD-000507,Comítana,Vt,Vt,"Hacer como arroyo, hacer cóncavo",19,13,SRC-02,DICCIONARIO raramuri.pdf,28,28,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000067,ba’huí,baʼhuí,baʼhui,’,1,Medial,2,Ejemplo,1,2,18,"Hui’yé gará chunú ba’huí. La tierra absorbe el agua. [fut.: chunuméa]. Chunugá bají. Lo chupa. Chunurú. Vt Chupar, sorber (una vez)",RD-000808,Chunú,Vt,Vt,"Chupar, absorber",19,13,SRC-02,DICCIONARIO raramuri.pdf,40,40,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000068,ba’huí,baʼhuí,baʼhui,’,1,Medial,2,Ejemplo,1,2,17,Huarú bu’huíbari ba’huí. Creció mucho el arroyo. Huarú ucuri. Llovió mucho. Huarú sapéami ju. Está muy gordo. [pl.: ohuari]. Huarú ba’huechi. Mar. Huarú bahuechi suhué. Orilla del mar. Huarú chipérami. Como una tabla ancha. Huarú ritérari. Peñasco. Huarú sapéami. Panzón.,RD-000912,Huarú,Adj sing,Adj,"Grande, mucho, muy",19,13,SRC-02,DICCIONARIO raramuri.pdf,43,44,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000069,ba’huí,baʼhuí,baʼhui,’,1,Medial,2,Ejemplo,1,2,13,Hui’ré inaro ba’huí. Está ancho el río. Hui’ré ichiméani. Voy a sembrar ancho (mucho).,RD-001015,Hui’ré,Adj,Adj,Ancho,19,13,SRC-02,DICCIONARIO raramuri.pdf,48,48,Transcrito,Pendiente de cotejo ortográfico y fonológico
