variant_id,form_a,form_b,form_a_normalized,form_b_normalized,pattern,relation_type,derivation_method,entry_id,entry_ids,related_entry_id,classification,evidence,source_code,source_document,page_start,page_end,source_status,validation_status
VAR-000011,Ba'yórata,ba'yóratama,ba'yorata,ba'yoratama,fut,Flexión,Etiqueta morfológica explícita,RD-000221,RD-000221,,Vt,fut.: ba'yóratama,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito,Pendiente de cotejo lingüístico
VAR-000012,Bajina,bajínama,bajina,bajinama,fut,Flexión,Etiqueta morfológica explícita,RD-000166,RD-000166,,Vi,pret.: bajínari; fut.: bajínama,SRC-02,DICCIONARIO raramuri.pdf,12,12,Transcrito,Pendiente de cotejo lingüístico
VAR-000013,Bajita,bajítama,bajita,bajitama,fut,Flexión,Etiqueta morfológica explícita,RD-000168,RD-000168,,Vi,pret.: bajítari; fut.: bajítama,SRC-02,DICCIONARIO raramuri.pdf,12,12,Transcrito,Pendiente de cotejo lingüístico
VAR-000014,Banira,banírama,banira,banirama,fut,Flexión,Etiqueta morfológica explícita,RD-000182,RD-000182,,Vt,"pret.: banírari; fut.: banírama, banagá",SRC-02,DICCIONARIO raramuri.pdf,13,13,Transcrito,Pendiente de cotejo lingüístico
VAR-000015,Banira,banagá,banira,banaga,fut,Flexión,Etiqueta morfológica explícita,RD-000182,RD-000182,,Vt,"pret.: banírari; fut.: banírama, banagá",SRC-02,DICCIONARIO raramuri.pdf,13,13,Transcrito,Pendiente de cotejo lingüístico
VAR-000016,Baquí,baquiméa,baqui,baquimea,fut,Flexión,Etiqueta morfológica explícita,RD-000185,RD-000185,,Vi,fut.: baquiméa; pl.: mo'hui,SRC-02,DICCIONARIO raramuri.pdf,13,13,Transcrito,Pendiente de cotejo lingüístico
VAR-000017,Barami,barámama,barami,baramama,fut,Flexión,Etiqueta morfológica explícita,RD-000190,RD-000190,,Vi,fut.: barámama,SRC-02,DICCIONARIO raramuri.pdf,13,13,Transcrito,Pendiente de cotejo lingüístico
VAR-000018,Bi'rina,bi'rinama,bi'rina,bi'rinama,fut,Flexión,Etiqueta morfológica explícita,RD-000276,RD-000276,,Vt,fut.: bi'rinama,SRC-02,DICCIONARIO raramuri.pdf,17,17,Transcrito,Pendiente de cotejo lingüístico
VAR-000019,Bicá,bicamea,bica,bicamea,fut,Flexión,Etiqueta morfológica explícita,RD-000223,RD-000223,,Vi,pret.: biquiyari; fut.: bicamea; pp.: bicáami,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito,Pendiente de cotejo lingüístico
VAR-000020,Bichíhuaga ané,bichíhuaga animea,bichihuaga ane,bichihuaga animea,fut,Flexión,Etiqueta morfológica explícita,RD-000232,RD-000232,,,fut.: bichíhuaga animea,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito,Pendiente de cotejo lingüístico
VAR-000021,Bichina,bichinama,bichina,bichinama,fut,Flexión,Etiqueta morfológica explícita,RD-000239,RD-000239,,Vt,fut.: bichinama,SRC-02,DICCIONARIO raramuri.pdf,15,15,Transcrito,Pendiente de cotejo lingüístico
VAR-000022,Bihuá,bihuama,bihua,bihuama,fut,Flexión,Etiqueta morfológica explícita,RD-000242,RD-000242,,Vi,pret.: bihuáari; fut.: bihuama,SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito,Pendiente de cotejo lingüístico
VAR-000023,Bimoré,bimorema,bimore,bimorema,fut,Flexión,Etiqueta morfológica explícita,RD-000252,RD-000252,,Vi,pret.: bimoréari; fut.: bimorema,SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito,Pendiente de cotejo lingüístico
VAR-000024,Bité,bitérama,bite,biterama,fut,Flexión,Etiqueta morfológica explícita,RD-000280,RD-000280,,Vi,pret.: bitéeri; fut.: bitérama; pl.: piré,SRC-02,DICCIONARIO raramuri.pdf,17,18,Transcrito,Pendiente de cotejo lingüístico
VAR-000025,Bité,bitítama,bite,bititama,fut,Flexión,Etiqueta morfológica explícita,RD-000281,RD-000281,,Vi,pret.: bitéari; fut.: bitítama,SRC-02,DICCIONARIO raramuri.pdf,18,18,Transcrito,Pendiente de cotejo lingüístico
VAR-000026,Biteba,bitebama,biteba,bitebama,fut,Flexión,Etiqueta morfológica explícita,RD-000283,RD-000283,,Vi,fut.: bitebama,SRC-02,DICCIONARIO raramuri.pdf,18,18,Transcrito,Pendiente de cotejo lingüístico
VAR-000027,Bití,bitimea,biti,bitimea,fut,Flexión,Etiqueta morfológica explícita,RD-000285,RD-000285,,Vi pl,sing.: bu'huí; fut.: bitimea,SRC-02,DICCIONARIO raramuri.pdf,18,18,Transcrito,Pendiente de cotejo lingüístico
VAR-000028,Bo'ná,bo nomea,bo'na,bo nomea,fut,Flexión,Etiqueta morfológica explícita,RD-000300,RD-000300,,Vt,fut.: bo nomea,SRC-02,DICCIONARIO raramuri.pdf,19,19,Transcrito,Pendiente de cotejo lingüístico
VAR-000029,Botana,botonama,botana,botonama,fut,Flexión,Etiqueta morfológica explícita,RD-000318,RD-000318,,Vt,fut.: botonama,SRC-02,DICCIONARIO raramuri.pdf,19,19,Transcrito,Pendiente de cotejo lingüístico
VAR-000030,Bu'huí,bu’huimea,bu'hui,bu'huimea,fut,Flexión,Etiqueta morfológica explícita,RD-000332,RD-000332,,Vi,"pl.: bití; fut.: bu’huimea, bu’huibamina",SRC-02,DICCIONARIO raramuri.pdf,20,20,Transcrito,Pendiente de cotejo lingüístico
VAR-000031,Bu'huí,bu’huibamina,bu'hui,bu'huibamina,fut,Flexión,Etiqueta morfológica explícita,RD-000332,RD-000332,,Vi,"pl.: bití; fut.: bu’huimea, bu’huibamina",SRC-02,DICCIONARIO raramuri.pdf,20,20,Transcrito,Pendiente de cotejo lingüístico
VAR-000032,Bu'huiba,Bu'huibama,bu'huiba,bu'huibama,fut,Flexión,Etiqueta morfológica explícita,RD-000334,RD-000334,,Vi,fut.: Bu'huibama,SRC-02,DICCIONARIO raramuri.pdf,20,20,Transcrito,Pendiente de cotejo lingüístico
VAR-000033,Buré,buréma,bure,burema,fut,Flexión,Etiqueta morfológica explícita,RD-000342,RD-000342,,Vi,fut.: buréma,SRC-02,DICCIONARIO raramuri.pdf,20,20,Transcrito,Pendiente de cotejo lingüístico
VAR-000034,Busá,busuméa,busa,busumea,fut,Flexión,Etiqueta morfológica explícita,RD-000349,RD-000349,,Vi,pret.: busuré; fut.: busuméa,SRC-02,DICCIONARIO raramuri.pdf,21,21,Transcrito,Pendiente de cotejo lingüístico
VAR-000035,Ca’huá,ca'huaméa,ca'hua,ca'huamea,fut,Flexión,Etiqueta morfológica explícita,RD-000378,RD-000378,,Vt,fut.: ca'huaméa,SRC-02,DICCIONARIO raramuri.pdf,22,22,Transcrito,Pendiente de cotejo lingüístico
VAR-000036,Ca'hué,ca'huérama,ca'hue,ca'huerama,fut,Flexión,Etiqueta morfológica explícita,RD-000380,RD-000380,,Vi,pret.: ca'huéari; fut.: ca'huérama,SRC-02,DICCIONARIO raramuri.pdf,22,22,Transcrito,Pendiente de cotejo lingüístico
VAR-000037,Ca'mina,ca'minama,ca'mina,ca'minama,fut,Flexión,Etiqueta morfológica explícita,RD-000396,RD-000396,,Vt,fut.: ca'minama,SRC-02,DICCIONARIO raramuri.pdf,23,23,Transcrito,Pendiente de cotejo lingüístico
VAR-000038,Cajuí,cajuima,cajui,cajuima,fut,Flexión,Etiqueta morfológica explícita,RD-000389,RD-000389,,Vi,fut.: cajuima,SRC-02,DICCIONARIO raramuri.pdf,23,23,Transcrito,Pendiente de cotejo lingüístico
VAR-000039,Caniri,canírama,caniri,canirama,fut,Flexión,Etiqueta morfológica explícita,RD-000408,RD-000408,,Vi,pret.: caníiri; fut.: canírama,SRC-02,DICCIONARIO raramuri.pdf,24,24,Transcrito,Pendiente de cotejo lingüístico
VAR-000040,Capírahua,capíranama,capirahua,capiranama,fut,Flexión,Etiqueta morfológica explícita,RD-000413,RD-000413,,Vi,pret.: capíranari; fut.: capíranama,SRC-02,DICCIONARIO raramuri.pdf,24,24,Transcrito,Pendiente de cotejo lingüístico
VAR-000041,Caré,carihuérama,care,carihuerama,fut,Flexión,Etiqueta morfológica explícita,RD-000432,RD-000432,,Vi,pret: carihuérari; fut: carihuérama,SRC-02,DICCIONARIO raramuri.pdf,25,25,Transcrito,Pendiente de cotejo lingüístico
VAR-000042,Carihua,caríiri,carihua,cariiri,fut,Flexión,Etiqueta morfológica explícita,RD-000438,RD-000438,,Vi,pret: caríiri; pp.: caríhuami; fut.: caríiri; pp.: caríhuami; fut.: caríima,SRC-02,DICCIONARIO raramuri.pdf,25,25,Transcrito,Pendiente de cotejo lingüístico
VAR-000043,Carihua,caríima,carihua,cariima,fut,Flexión,Etiqueta morfológica explícita,RD-000438,RD-000438,,Vi,pret: caríiri; pp.: caríhuami; fut.: caríiri; pp.: caríhuami; fut.: caríima,SRC-02,DICCIONARIO raramuri.pdf,25,25,Transcrito,Pendiente de cotejo lingüístico
VAR-000044,Casuna,casunama,casuna,casunama,fut,Flexión,Etiqueta morfológica explícita,RD-000463,RD-000463,,Vi,fut.: casunama,SRC-02,DICCIONARIO raramuri.pdf,26,26,Transcrito,Pendiente de cotejo lingüístico
VAR-000045,Cha’mí,cha’miméa,cha'mi,cha'mimea,fut,Flexión,Etiqueta morfológica explícita,RD-000648,RD-000648,,Vt,fut.: cha’miméa,SRC-02,DICCIONARIO raramuri.pdf,33,33,Transcrito,Pendiente de cotejo lingüístico
VAR-000046,Chahué,chahuéama,chahue,chahueama,fut,Flexión,Etiqueta morfológica explícita,RD-000642,RD-000642,,Vt,fut.: chahuéama,SRC-02,DICCIONARIO raramuri.pdf,33,33,Transcrito,Pendiente de cotejo lingüístico
VAR-000047,Charihué,charihuérama,charihue,charihuerama,fut,Flexión,Etiqueta morfológica explícita,RD-000662,RD-000662,,Vi,pret.: charihuéeri; fut.:charihuérama,SRC-02,DICCIONARIO raramuri.pdf,34,34,Transcrito,Pendiente de cotejo lingüístico
VAR-000048,Chehui,chehuama,chehui,chehuama,fut,Flexión,Etiqueta morfológica explícita,RD-000667,RD-000667,,Vt,pret.: chehuari; fut.: chehuama,SRC-02,DICCIONARIO raramuri.pdf,34,34,Transcrito,Pendiente de cotejo lingüístico
VAR-000049,Chi’huana,chi’huanama,chi'huana,chi'huanama,fut,Flexión,Etiqueta morfológica explícita,RD-000687,RD-000687,,Vt,fut.: chi’huanama; pret.: chi’huánari,SRC-02,DICCIONARIO raramuri.pdf,35,35,Transcrito,Pendiente de cotejo lingüístico
VAR-000050,Chi’rá,chi’riméa,chi'ra,chi'rimea,fut,Flexión,Etiqueta morfológica explícita,RD-000716,RD-000716,,Vi,fut.: chi’riméa,SRC-02,DICCIONARIO raramuri.pdf,36,36,Transcrito,Pendiente de cotejo lingüístico
VAR-000051,Chi’rina,chi’rinama,chi'rina,chi'rinama,fut,Flexión,Etiqueta morfológica explícita,RD-000729,RD-000729,,Vt,fut.: chi’rinama,SRC-02,DICCIONARIO raramuri.pdf,36,36,Transcrito,Pendiente de cotejo lingüístico
VAR-000052,Chi’riní,chi’rima,chi'rini,chi'rima,fut,Flexión,Etiqueta morfológica explícita,RD-000730,RD-000730,,Vi,pret.: chi’riri; fut.: chi’rima,SRC-02,DICCIONARIO raramuri.pdf,36,36,Transcrito,Pendiente de cotejo lingüístico
VAR-000053,Chicora,chicórama,chicora,chicorama,fut,Flexión,Etiqueta morfológica explícita,RD-000675,RD-000675,,Vi,pret.: chicóori; fut.: chicórama; pp.: chicórahuami,SRC-02,DICCIONARIO raramuri.pdf,34,34,Transcrito,Pendiente de cotejo lingüístico
VAR-000054,Chihuí,chihuiméa,chihui,chihuimea,fut,Flexión,Etiqueta morfológica explícita,RD-000690,RD-000690,,Vi,fut.: chihuiméa,SRC-02,DICCIONARIO raramuri.pdf,35,35,Transcrito,Pendiente de cotejo lingüístico
VAR-000055,Chiminú,chimunama,chiminu,chimunama,fut,Flexión,Etiqueta morfológica explícita,RD-000702,RD-000702,,Vt,fut.: chimunama,SRC-02,DICCIONARIO raramuri.pdf,35,35,Transcrito,Pendiente de cotejo lingüístico
VAR-000056,Chipú,chipúrama,chipu,chipurama,fut,Flexión,Etiqueta morfológica explícita,RD-000714,RD-000714,,Vi,pret.: chipúari; fut.: chipúrama; pp.: chipúami; pres.: chipura,SRC-02,DICCIONARIO raramuri.pdf,36,36,Transcrito,Pendiente de cotejo lingüístico
VAR-000057,Cho’huí,cho’huimea,cho'hui,cho'huimea,fut,Flexión,Etiqueta morfológica explícita,RD-000751,RD-000751,,Vi,pret.: cho’huiri; fut.: cho’huimea,SRC-02,DICCIONARIO raramuri.pdf,37,37,Transcrito,Pendiente de cotejo lingüístico
VAR-000058,Cho’ná,cho’nimea,cho'na,cho'nimea,fut,Flexión,Etiqueta morfológica explícita,RD-000759,RD-000759,,Vt,fut.: cho’nimea,SRC-02,DICCIONARIO raramuri.pdf,38,38,Transcrito,Pendiente de cotejo lingüístico
VAR-000059,Chocó,chochórama,choco,chochorama,fut,Flexión,Etiqueta morfológica explícita,RD-000744,RD-000744,,Vi,pret.: chochóori; fut.: chochórama; pp.: chocóami,SRC-02,DICCIONARIO raramuri.pdf,37,37,Transcrito,Pendiente de cotejo lingüístico
VAR-000060,Chona,chonama,chona,chonama,fut,Flexión,Etiqueta morfológica explícita,RD-000760,RD-000760,,Vi,pret.: chónari; fut.: chonama,SRC-02,DICCIONARIO raramuri.pdf,38,38,Transcrito,Pendiente de cotejo lingüístico
VAR-000061,Choré,choromea,chore,choromea,fut,Flexión,Etiqueta morfológica explícita,RD-000779,RD-000779,,,fut.: choromea,SRC-02,DICCIONARIO raramuri.pdf,39,39,Transcrito,Pendiente de cotejo lingüístico
VAR-000062,Chota,chotama,chota,chotama,fut,Flexión,Etiqueta morfológica explícita,RD-000784,RD-000784,,Vt,fut.: chotama,SRC-02,DICCIONARIO raramuri.pdf,39,39,Transcrito,Pendiente de cotejo lingüístico
VAR-000063,Chu’má,chu’mamaéa,chu'ma,chu'mamaea,fut,Flexión,Etiqueta morfológica explícita,RD-000801,RD-000801,,Vt,fut.: chu’mamaéa,SRC-02,DICCIONARIO raramuri.pdf,40,40,Transcrito,Pendiente de cotejo lingüístico
VAR-000064,Chu’mí,chu’muméa,chu'mi,chu'mumea,fut,Flexión,Etiqueta morfológica explícita,RD-000804,RD-000804,,Vt,fut.: chu’muméa,SRC-02,DICCIONARIO raramuri.pdf,40,40,Transcrito,Pendiente de cotejo lingüístico
VAR-000065,Chucuba,chucubama,chucuba,chucubama,fut,Flexión,Etiqueta morfológica explícita,RD-000792,RD-000792,,Vi,fut.: chucubama,SRC-02,DICCIONARIO raramuri.pdf,39,39,Transcrito,Pendiente de cotejo lingüístico
VAR-000066,Chunú,chunuméa,chunu,chunumea,fut,Flexión,Etiqueta morfológica explícita,RD-000808,RD-000808,,Vt,fut.: chunuméa,SRC-02,DICCIONARIO raramuri.pdf,40,40,Transcrito,Pendiente de cotejo lingüístico
VAR-000067,Chutá,chutama,chuta,chutama,fut,Flexión,Etiqueta morfológica explícita,RD-000829,RD-000829,,Vt,fut.: chutama; pp.: chutárami,SRC-02,DICCIONARIO raramuri.pdf,41,41,Transcrito,Pendiente de cotejo lingüístico
VAR-000068,Co'huá,copoa,co'hua,copoa,fut,Flexión,Etiqueta morfológica explícita,RD-000489,RD-000489,,Vi,"pret.: co'huari; fut.: copoa, co'mea; pp.: co'huéami",SRC-02,DICCIONARIO raramuri.pdf,27,27,Transcrito,Pendiente de cotejo lingüístico
VAR-000069,Co'huá,co'mea,co'hua,co'mea,fut,Flexión,Etiqueta morfológica explícita,RD-000489,RD-000489,,Vi,"pret.: co'huari; fut.: copoa, co'mea; pp.: co'huéami",SRC-02,DICCIONARIO raramuri.pdf,27,27,Transcrito,Pendiente de cotejo lingüístico
VAR-000070,Co’yá,co’huimea,co'ya,co'huimea,fut,Flexión,Etiqueta morfológica explícita,RD-000549,RD-000549,,Vt pl,fut.: co’huimea,SRC-02,DICCIONARIO raramuri.pdf,29,29,Transcrito,Pendiente de cotejo lingüístico
VAR-000071,Cónahua,cónama,conahua,conama,fut,Flexión,Etiqueta morfológica explícita,RD-000515,RD-000515,,Vt,fut.: cónama,SRC-02,DICCIONARIO raramuri.pdf,28,28,Transcrito,Pendiente de cotejo lingüístico
VAR-000072,Cuhuana,cuhuanáma,cuhuana,cuhuanama,fut,Flexión,Etiqueta morfológica explícita,RD-000566,RD-000566,,Vt,fut.: cuhuanáma,SRC-02,DICCIONARIO raramuri.pdf,30,30,Transcrito,Pendiente de cotejo lingüístico
VAR-000073,Cumí,cumumea,cumi,cumumea,fut,Flexión,Etiqueta morfológica explícita,RD-000583,RD-000583,,Vt,fut.: cumumea,SRC-02,DICCIONARIO raramuri.pdf,31,31,Transcrito,Pendiente de cotejo lingüístico
VAR-000074,Cupí,cupuméa,cupi,cupumea,fut,Flexión,Etiqueta morfológica explícita,RD-000593,RD-000593,,Vi,fut.: cupuméa; pp.: cupíami,SRC-02,DICCIONARIO raramuri.pdf,31,31,Transcrito,Pendiente de cotejo lingüístico
VAR-000075,Curú,curuméa,curu,curumea,fut,Flexión,Etiqueta morfológica explícita,RD-000603,RD-000603,,Vi,fut.: curuméa,SRC-02,DICCIONARIO raramuri.pdf,32,32,Transcrito,Pendiente de cotejo lingüístico
VAR-000076,Cusú,cusuméa,cusu,cusumea,fut,Flexión,Etiqueta morfológica explícita,RD-000619,RD-000619,,Vi,fut.: cusuméa,SRC-02,DICCIONARIO raramuri.pdf,32,32,Transcrito,Pendiente de cotejo lingüístico
VAR-000077,Hua’ché,hua’chema,hua'che,hua'chema,fut,Flexión,Etiqueta morfológica explícita,RD-000875,RD-000875,,Vi,pret.: hua’cheri; fut.: hua’chema,SRC-02,DICCIONARIO raramuri.pdf,42,42,Transcrito,Pendiente de cotejo lingüístico
VAR-000078,Huacaná,huacanama,huacana,huacanama,fut,Flexión,Etiqueta morfológica explícita,RD-000871,RD-000871,,Vt,pret.: huacánari; fut.: huacanama,SRC-02,DICCIONARIO raramuri.pdf,42,42,Transcrito,Pendiente de cotejo lingüístico
VAR-000079,Huachina,huachinama,huachina,huachinama,fut,Flexión,Etiqueta morfológica explícita,RD-000879,RD-000879,,Vt,fut.: huachinama,SRC-02,DICCIONARIO raramuri.pdf,42,42,Transcrito,Pendiente de cotejo lingüístico
VAR-000080,Huajóo,huajóoma,huajoo,huajooma,fut,Flexión,Etiqueta morfológica explícita,RD-000885,RD-000885,,Vi pl,pret.: huajóori; fut.: huajóoma,SRC-02,DICCIONARIO raramuri.pdf,43,43,Transcrito,Pendiente de cotejo lingüístico
VAR-000081,Huajóo,huajonama,huajoo,huajonama,fut,Flexión,Etiqueta morfológica explícita,RD-000885,RD-000885,,Vi pl,fut.: huajonama,SRC-02,DICCIONARIO raramuri.pdf,43,43,Transcrito,Pendiente de cotejo lingüístico
VAR-000082,Huaminá arihué,huaminá arihuema,huamina arihue,huamina arihuema,fut,Flexión,Etiqueta morfológica explícita,RD-000888,RD-000888,,Vt,fut.: huaminá arihuema,SRC-02,DICCIONARIO raramuri.pdf,43,43,Transcrito,Pendiente de cotejo lingüístico
VAR-000083,Huaní,huaniméa,huani,huanimea,fut,Flexión,Etiqueta morfológica explícita,RD-000895,RD-000895,,Vt,gut.: huaniméa,SRC-02,DICCIONARIO raramuri.pdf,43,43,Transcrito,Pendiente de cotejo lingüístico
VAR-000084,Huarona,huaronama,huarona,huaronama,fut,Flexión,Etiqueta morfológica explícita,RD-000911,RD-000911,,Vt,fut.: huaronama,SRC-02,DICCIONARIO raramuri.pdf,43,43,Transcrito,Pendiente de cotejo lingüístico
VAR-000085,Huatoná,huatonama,huatona,huatonama,fut,Flexión,Etiqueta morfológica explícita,RD-000934,RD-000934,,,fut.: huatonama,SRC-02,DICCIONARIO raramuri.pdf,44,44,Transcrito,Pendiente de cotejo lingüístico
VAR-000086,Hui’nijí,hu’nijima,hui'niji,hu'nijima,fut,Flexión,Etiqueta morfológica explícita,RD-000998,RD-000998,,Vt,fut.: hu’nijima,SRC-02,DICCIONARIO raramuri.pdf,47,47,Transcrito,Pendiente de cotejo lingüístico
VAR-000087,Hui’yée,hui’yéarama,hui'yee,hui'yearama,fut,Flexión,Etiqueta morfológica explícita,RD-001045,RD-001045,,Vi,fut.: hui’yéarama,SRC-02,DICCIONARIO raramuri.pdf,49,49,Transcrito,Pendiente de cotejo lingüístico
VAR-000088,Huichí,huichiméa,huichi,huichimea,fut,Flexión,Etiqueta morfológica explícita,RD-000975,RD-000975,,Vi,fut.: huichiméa,SRC-02,DICCIONARIO raramuri.pdf,46,46,Transcrito,Pendiente de cotejo lingüístico
VAR-000089,Huicuhui,huicuhuama,huicuhui,huicuhuama,fut,Flexión,Etiqueta morfológica explícita,RD-000968,RD-000968,,Vi,pret.: huicúuri; fut.: huicuhuama,SRC-02,DICCIONARIO raramuri.pdf,46,46,Transcrito,Pendiente de cotejo lingüístico
VAR-000090,Huijá,huijaméa,huija,huijamea,fut,Flexión,Etiqueta morfológica explícita,RD-000995,RD-000995,,Vt,fut.: huijaméa,SRC-02,DICCIONARIO raramuri.pdf,47,47,Transcrito,Pendiente de cotejo lingüístico
VAR-000091,Huirí,huiriméa,huiri,huirimea,fut,Flexión,Etiqueta morfológica explícita,RD-001017,RD-001017,,Vi,fut.: huiriméa; pl.: jahui,SRC-02,DICCIONARIO raramuri.pdf,48,48,Transcrito,Pendiente de cotejo lingüístico
VAR-000092,Huiriba,huiribama,huiriba,huiribama,fut,Flexión,Etiqueta morfológica explícita,RD-001019,RD-001019,,Vi sing,pret.: huiríbari; fut.: huiribama; pl.: jaba,SRC-02,DICCIONARIO raramuri.pdf,48,48,Transcrito,Pendiente de cotejo lingüístico
VAR-000093,Huitá,huitaméa,huita,huitamea,fut,Flexión,Etiqueta morfológica explícita,RD-001039,RD-001039,,,fut.: huitaméa,SRC-02,DICCIONARIO raramuri.pdf,49,49,Transcrito,Pendiente de cotejo lingüístico
VAR-000094,Icá,icaméa,ica,icamea,fut,Flexión,Etiqueta morfológica explícita,RD-001051,RD-001051,,Vi,fut.: icaméa,SRC-02,DICCIONARIO raramuri.pdf,49,49,Transcrito,Pendiente de cotejo lingüístico
VAR-000095,Ichá,ichiméa,icha,ichimea,fut,Flexión,Etiqueta morfológica explícita,RD-001058,RD-001058,,Vt,fut.: ichiméa,SRC-02,DICCIONARIO raramuri.pdf,50,50,Transcrito,Pendiente de cotejo lingüístico
VAR-000096,Iché,ichérama,iche,icherama,fut,Flexión,Etiqueta morfológica explícita,RD-001060,RD-001060,,Vi,pret.: ichéari; fut.: ichérama,SRC-02,DICCIONARIO raramuri.pdf,50,50,Transcrito,Pendiente de cotejo lingüístico
VAR-000097,Achá,muchuhua,acha,muchuhua,pl,Flexión,Etiqueta morfológica explícita,RD-000026,RD-000026,,Vt,pl.: muchuhua,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo lingüístico
VAR-000098,Apera,pabera,apera,pabera,pl,Flexión,Etiqueta morfológica explícita,RD-000083,RD-000083,,Vt sing,fut.: aperama; pl.: pabera,SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito,Pendiente de cotejo lingüístico
VAR-000099,Aquibi,mo'huibi,aquibi,mo'huibi,pl,Flexión,Etiqueta morfológica explícita,RD-000088,RD-000088,,Vi sing,pl.: mo'huibi,SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito,Pendiente de cotejo lingüístico
VAR-000100,Asiba,muchiba,asiba,muchiba,pl,Flexión,Etiqueta morfológica explícita,RD-000110,RD-000110,,,pl.: muchiba,SRC-02,DICCIONARIO raramuri.pdf,8,8,Transcrito,Pendiente de cotejo lingüístico
VAR-000101,Atí,muchuhui,ati,muchuhui,pl,Flexión,Etiqueta morfológica explícita,RD-000117,RD-000117,,Vi,pl.: muchuhui,SRC-02,DICCIONARIO raramuri.pdf,8,8,Transcrito,Pendiente de cotejo lingüístico
VAR-000102,Baquí,mo'hui,baqui,mo'hui,pl,Flexión,Etiqueta morfológica explícita,RD-000185,RD-000185,,Vi,fut.: baquiméa; pl.: mo'hui,SRC-02,DICCIONARIO raramuri.pdf,13,13,Transcrito,Pendiente de cotejo lingüístico
VAR-000103,Bité,piré,bite,pire,pl,Flexión,Etiqueta morfológica explícita,RD-000280,RD-000280,,Vi,pret.: bitéeri; fut.: bitérama; pl.: piré,SRC-02,DICCIONARIO raramuri.pdf,17,18,Transcrito,Pendiente de cotejo lingüístico
VAR-000104,Bitéami,piréami,biteami,pireami,pl,Flexión,Etiqueta morfológica explícita,RD-000282,RD-000282,,Adj sin,pl.: piréami,SRC-02,DICCIONARIO raramuri.pdf,18,18,Transcrito,Pendiente de cotejo lingüístico
