"ID","Language_ID","Headword","Part_Of_Speech","Headword_Raw","Headword_Normalized","Homonym_Number","Classification_Family","Translation_Raw","Variants_JSON","Examples_JSON","Comment","Source","Publication_Status","Validation_Status","Transcription_Status"
"RD-000011","tar","Acarapta","Vt","Acarapta","acarapta","","Vt","Quitar (huaraches)","[]","[]","","SRC-02[3]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000012","tar","Acá","Vi","4Acá","aca","4","Vi","Embotarse, quitarse (el filo)","[]","[""Ripurá acari, se embotó el hacha.""]","Ripurá acari, se embotó el hacha.","SRC-02[3]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000013","tar","Acáami","Adj","Acáami","acaami","","Adj","1. Salado 2. Dulce","[]","[]","","SRC-02[3]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000014","tar","Acáanami","Adj","Acáanami","acaanami","","Adj","Sano de pie o de brazo (se usa negativamente)","[]","[""Echi rijoy que acáanami ju, mapujiti binoy ronórachi nacórami ju, Ese hombre es cojo porque tiene la pierna chueca. Que acáanami, cojo. Que acanáami biréana ronochí, cojo de una pierna.""]","Echi rijoy que acáanami ju, mapujiti binoy ronórachi nacórami ju, Ese hombre es cojo porque tiene la pierna chueca. Que acáanami, cojo. Que acanáami biréana ronochí, cojo de una pierna.","SRC-02[3]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000015","tar","Acabó","S","Acabó","acabo","","S","Hoyo de la nariz, ventana de la nariz","[]","[]","","SRC-02[3]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000016","tar","Acáchura","S","Acáchura","acachura","","S","1. Abuela paterna 2. Nieta (de la abuela paterna)","[]","[""Echi nijé onorá iyera nijé acáchura ju, la mamá de mi papá es mi abuela paterna. Nijé acáchura, mi abuela (la mamá de mi papá).""]","Echi nijé onorá iyera nijé acáchura ju, la mamá de mi papá es mi abuela paterna. Nijé acáchura, mi abuela (la mamá de mi papá).","SRC-02[3-4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000017","tar","Acahui","Vt","Acahui","acahui","","Vt","Salar","[]","[]","","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000018","tar","Acajihua","S","Acajihua","acajihua","","S","Correa","[]","[""Acajihua ma su'rari, ya se soltó la correa del huarache.""]","Acajihua ma su'rari, ya se soltó la correa del huarache.","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000019","tar","Acajihua","Vr","Acajihua","acajihua","","Vr","Ponerse correas a los huaraches","[]","[""Nijé acajíhuara, mis correas""]","Nijé acajíhuara, mis correas","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000020","tar","Acami","Adj sing","Acami","acami","","Adj","Vivo","[]","[""Abijí acami ju cochí, todavía está vivo el perro.""]","Abijí acami ju cochí, todavía está vivo el perro.","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000021","tar","Acaná","Adv","Acaná","acana","","Adv","Boca abajo","[]","[""Acaná huichiri, se cayó boca abajo. ¡Acaná achá bitori! ¡Voltea el cajete (boca abajo)!""]","Acaná huichiri, se cayó boca abajo. ¡Acaná achá bitori! ¡Voltea el cajete (boca abajo)!","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000022","tar","Acánami","Pp","Acánami","acanami","","Pp","Aliviado (de pie, brazo, etc.), sano así","[]","[]","","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000023","tar","Acará","Vt","1Acará","acara","1","Vt","Herrar","[]","[]","","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000024","tar","Acará","S","2Acará","acara","2","S","Rostro","[]","[]","","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000025","tar","Acha","Adv","Acha","acha","","Adv","¿Acaso…? (solo se usa en preguntas)","[]","[""¿Acha gará ju?, ¿Estás bien? ¿Quecha gará ju?, ¿No estás bien?""]","¿Acha gará ju?, ¿Estás bien? ¿Quecha gará ju?, ¿No estás bien?","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000026","tar","Achá","Vt","Achá","acha","","Vt","Poner (una sola cosa o persona), colocar","[""pl.: muchuhua""]","[""Echo'ná achámani, voy a ponerlo allí. Nijeni naquiri echo'ná achayá, yo quería ponerlo allí. Echo'ná achárati, fue puesto allí. Sicochi achari rité, puso la piedra en el rincón. [pl.: muchuhua]""]","Echo'ná achámani, voy a ponerlo allí. Nijeni naquiri echo'ná achayá, yo quería ponerlo allí. Echo'ná achárati, fue puesto allí. Sicochi achari rité, puso la piedra en el rincón. [pl.: muchuhua]","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000027","tar","Achagó","S","Achagó","achago","","S","Una mata espinosa (semejante a la manzanilla; las chivas comen las ramitas)","[]","[""Achagóachi, lugar donde hay esa mata.""]","Achagóachi, lugar donde hay esa mata.","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000028","tar","Achapa","Vt","Achapa","achapa","","Vt","Golpear ropa o cobija sobre una roca o con un palo para quitar el agua.","[]","[]","","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000029","tar","'Aché","Vi","'Aché","'ache","","Vi","Atiesarse (de frío), morirse (de frío)","[]","[""Biré táa tohuí 'acheca mucuri, mapujiti quetasi teri quima, un niño chiquito se atiesó, y murió así, porque no tenía cobija.""]","Biré táa tohuí 'acheca mucuri, mapujiti quetasi teri quima, un niño chiquito se atiesó, y murió así, porque no tenía cobija.","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000030","tar","Achí","Vt","Achí","achi","","Vt","Reír, sonreír","[]","[""Echi jaré rarámuri huabé achiri maparí nijé huichiri, los tarahumaras se rieron mucho cuando me caí.""]","Echi jaré rarámuri huabé achiri maparí nijé huichiri, los tarahumaras se rieron mucho cuando me caí.","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000031","tar","Achíami","Adj","Achíami","achiami","","Adj","Risueño","[]","[]","","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000032","tar","Achigó yiri ju","","Achigó yiri ju","achigo yiri ju","","Sin clasificar","Es igual","[]","[""Véase néchigo""]","Véase néchigo","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000033","tar","Achigórigá","Adv","Achigórigá","achigoriga","","Adv","De la misma manera, así también","[]","[""Echi rijoy nihuari biré namuti achigórigá mapurigá rihuari echo'ná huarúrachi, ese hombre hizo una cosa de la misma manera que vió en la ciudad.""]","Echi rijoy nihuari biré namuti achigórigá mapurigá rihuari echo'ná huarúrachi, ese hombre hizo una cosa de la misma manera que vió en la ciudad.","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000034","tar","A'huí","Vi","A'huí","a'hui","","Vi","Brotar, nacer o germinar (semillas)","[""pret.: a'huiri, fut.: a'huimea""]","[""[pret.: a'huiri, fut.: a'huimea]""]","[pret.: a'huiri, fut.: a'huimea]","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000035","tar","Ahuínari","Adv pl","Ahuínari","ahuinari","","Adv","Solos","[""sing.: bi'neri""]","[""[sing.: bi'neri]""]","[sing.: bi'neri]","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000036","tar","A'huínari","Adv","A'huínari","a'huinari","","Adv","Aparte","[]","[""Aboni a'huínara niráa napahuiri, ellos se juntaron aparte de los demás.""]","Aboni a'huínara niráa napahuiri, ellos se juntaron aparte de los demás.","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000037","tar","Ajó","Vt","1Ajó","ajo","1","Vt","Desgranar maíz","[]","[]","","SRC-02[4]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000038","tar","Ajó","S","2Ajó","ajo","2","S","Mosquito, zancudo","[]","[]","","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000039","tar","A'lara","Vt","A'lara","a'lara","","Vt","Mejorar, arreglar, preparar","[""véase ca'rara""]","[""Hue charé buhué; auchecho cu a'larabo, está muy malo el camino; lo arreglaremos. Vease ca'rara""]","Hue charé buhué; auchecho cu a'larabo, está muy malo el camino; lo arreglaremos. Vease ca'rara","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000040","tar","Alimuri","S","Alimuri","alimuri","","S","Decalitro","[]","[]","","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000041","tar","Amá","S","Amá","ama","","S","Hígado","[]","[]","","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000042","tar","Amaré","Vi","Amaré","amare","","Vi","Tener hígado","[]","[""Huáasi amará, hígado de vaca""]","Huáasi amará, hígado de vaca","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000043","tar","Amachí","Vt","Amachí","amachi","","Vt","Rezar","[]","[""Echi jaré pagótami mo'huiri echo'ná pachá ri'obachi; ma amachima, la gente ya entró en la iglesia; van a rezar.""]","Echi jaré pagótami mo'huiri echo'ná pachá ri'obachi; ma amachima, la gente ya entró en la iglesia; van a rezar.","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000044","tar","Amachícarahuami","Adj","Amachícarahuami","amachicarahuami","","Adj","Perteneciente a la acción de rezar","[]","[]","","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000045","tar","Amarú","Vi","Amarú","amaru","","Vi","Estar entero","[]","[""Auchériga atí bachí; abijí amarúami ju, así está la cabalaza; todavía está enter.""]","Auchériga atí bachí; abijí amarúami ju, así está la cabalaza; todavía está enter.","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000046","tar","Amarúami","Adj","Amarúami","amaruami","","Adj","Entero","[]","[]","","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000047","tar","Amí","Vt","Amí","ami","","Vt","Buscar","[]","[""Nijeni simea huenomí ámia, voy a buscar dinero Símabo huenomí ábia, vamos a buscar dinero. ¡Amí!, ¡Vaya a buscarlo! Ámia simiri, fue a buscarlo.""]","Nijeni simea huenomí ámia, voy a buscar dinero Símabo huenomí ábia, vamos a buscar dinero. ¡Amí!, ¡Vaya a buscarlo! Ámia simiri, fue a buscarlo.","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000048","tar","Amígohua","S","Amígohua","amigohua","","S","Amigo","[]","[""Nijé amígohuara, mis amigos""]","Nijé amígohuara, mis amigos","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000049","tar","Amóo, amoque","S","Amóo, amoque","amoo, amoque","","S","Panal, miel de abeja","[""amoque""]","[""Huamí ripá coráachi chucú biré amóo, allá arriba, en la escarpadura, está colgado un panal.""]","Huamí ripá coráachi chucú biré amóo, allá arriba, en la escarpadura, está colgado un panal.","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000050","tar","Aná","Adv","1Aná","ana","1","Adv","De otro modo","[]","[""Aná cho niráa ra'ichari, habló de otro modo.""]","Aná cho niráa ra'ichari, habló de otro modo.","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000051","tar","Aná","S","2Aná","ana","2","S","1. Ala 2. Aleta","[]","[""Churuguí anará, alas de pájaro Rochí anará, aletas de pez""]","Churuguí anará, alas de pájaro Rochí anará, aletas de pez","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000052","tar","A’nabáa","Vi","A’nabáa","a'nabaa","","Vi","Juntarse","[]","[""Jena’í piréami pagótami a’nabáari echo’ná comurachi, la gente de aquí se juntó en la casa de la comunidad""]","Jena’í piréami pagótami a’nabáari echo’ná comurachi, la gente de aquí se juntó en la casa de la comunidad","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000053","tar","Anacha","Vi","Anacha","anacha","","Vi","Aguantar","[""pret.: anáchari; fut.: anachama""]","[""Maparí rarajípari, échi rijoy quetasi anáchari, cuando corrieron con la bolsa, ese hombre no aguantó. Biquiyá norí chopi anáchari, solamente aguantó tres vueltas. Ne huabé ocó ramichí; nijeni quetasi omero huaminabi anacha, me duele mucho la muela; no puedo aguantarla más. [pret.: anáchari; fut.: anachama]""]","Maparí rarajípari, échi rijoy quetasi anáchari, cuando corrieron con la bolsa, ese hombre no aguantó. Biquiyá norí chopi anáchari, solamente aguantó tres vueltas. Ne huabé ocó ramichí; nijeni quetasi omero huaminabi anacha, me duele mucho la muela; no puedo aguantarla más. [pret.: anáchari; fut.: anachama]","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000054","tar","Anachapa","Vi","Anachapa","anachapa","","Vi","Aletear","[]","[]","","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000055","tar","A’nagú","Adv","A’nagú","a'nagu","","Adv","Mutuamente, unos a otros","[]","[]","","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000056","tar","Anahué","Vi","Anahué","anahue","","Vi","Aletear","[]","[]","","SRC-02[5]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000057","tar","Anahui","Vt","Anahui","anahui","","Vt","Medir, pesar","[""pret.: anpahuari; fut.: anáhuima""]","[""Gará anáhuari echi sunú, mapurigá ibiri chópirigá chapimea, midieron bien el maíz, para que cada uno reciba la misma cantidad. [pret.: anpahuari; fut.: anáhuima]""]","Gará anáhuari echi sunú, mapurigá ibiri chópirigá chapimea, midieron bien el maíz, para que cada uno reciba la misma cantidad. [pret.: anpahuari; fut.: anáhuima]","SRC-02[5-6]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000058","tar","A’nahuí","Adv","A’nahuí","a'nahui","","Adv","1. Al mismo tiempo 2. igual","[]","[""A’nahuí ochérari, nacieron al mismo tiempo. Ne a’nahuí buyari, salieron al mismo tiempo. Ocuánica ne a'nahuí ju, los dos son iguales. A'nahuí ju, son iguales""]","A’nahuí ochérari, nacieron al mismo tiempo. Ne a’nahuí buyari, salieron al mismo tiempo. Ocuánica ne a'nahuí ju, los dos son iguales. A'nahuí ju, son iguales","SRC-02[6]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000059","tar","A'najata","Vt","A'najata","a'najata","","Vt","Perseguir","[""pret.: a'najátari; fut.: a’najátama""]","[""Echi rijoy quimá chigósari, echijiti a'najátabo, ese hombre se robó una cobija; por eso lo perseguiremos. [pret.: a'najátari; fut.: a’najátama]""]","Echi rijoy quimá chigósari, echijiti a'najátabo, ese hombre se robó una cobija; por eso lo perseguiremos. [pret.: a'najátari; fut.: a’najátama]","SRC-02[6]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000060","tar","A'namótami","Adv","A'namótami","a'namotami","","Adv","Uno encima del otro","[]","[]","","SRC-02[6]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000061","tar","A'namótana","Vt","A'namótana","a'namotana","","Vt","Poner (uno encima del otro)","[]","[""Napabuca a'namótana muchúhuari, las puso una encima de la otra, haciendo un montón.""]","Napabuca a'namótana muchúhuari, las puso una encima de la otra, haciendo un montón.","SRC-02[6]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000062","tar","Anara","Vt","Anara","anara","","Vt","Igualar","[]","[]","","SRC-02[6]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000063","tar","A'nayáhuari","S pl","A'nayáhuari","a'nayahuari","","S","Los que vivieron hace mucho, los espíritus de los antepasados","[]","[""Jaré rarámuri mayé mapu echi jaré qui'yá piréami pagótami arihuá abijí 'yena jena'í, echijiti maparí echi jaré rarámuri huabé majajáratami ju, rocogó niráa, aboni mayé mapu a'nayáhuari 'yena. Algunos tarahumaras creen que los espíritus de los que vivieron hace mucho todavía andan aquí, por eso, cuando ellos están muy asustados en la noche, creen que los espíritus de los antepasados andan por ahí.""]","Jaré rarámuri mayé mapu echi jaré qui'yá piréami pagótami arihuá abijí 'yena jena'í, echijiti maparí echi jaré rarámuri huabé majajáratami ju, rocogó niráa, aboni mayé mapu a'nayáhuari 'yena. Algunos tarahumaras creen que los espíritus de los que vivieron hace mucho todavía andan aquí, por eso, cuando ellos están muy asustados en la noche, creen que los espíritus de los antepasados andan por ahí.","SRC-02[6]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000064","tar","Ané","Vt","Ané","ane","","Vt","Decir","[]","[""Maparí echi rijoy ra'íchari tamí yuhua, binoy tamí aneri mapu binoy onorá ma mucuri, cuando ese hombre habló conmigo, me dijo que su papá ya había muerto.""]","Maparí echi rijoy ra'íchari tamí yuhua, binoy tamí aneri mapu binoy onorá ma mucuri, cuando ese hombre habló conmigo, me dijo que su papá ya había muerto.","SRC-02[6]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000065","tar","Ané","Vi","Ané","ane","","Vi","Sonar fuerte","[]","[""Jeané, le dice esto Anebi, le hubiéramos dicho Anemi, le hubiera dicho""]","Jeané, le dice esto Anebi, le hubiéramos dicho Anemi, le hubiera dicho","SRC-02[6]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000066","tar","Anérami","Pp","Anérami","anerami","","Pp","Le fue dicho","[]","[]","","SRC-02[6]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000067","tar","Anérati","Vi","Anérati","anerati","","Vi","Fue dicho fue avisado (pasivo)","[]","[]","","SRC-02[6]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000068","tar","Anéchani","Vi","Anéchani","anechani","","Vi","Rezumbar","[]","[]","","SRC-02[6]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000069","tar","Aní","Vi","Aní","ani","","Vi","Decir","[]","[]","","SRC-02[6]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000070","tar","Anihuami","Pp","Anihuami","anihuami","","Pp","Querer decir","[]","[""¿Churigá anihuami ju?, ¿Qué quiere decir?""]","¿Churigá anihuami ju?, ¿Qué quiere decir?","SRC-02[6]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000071","tar","Anirá","Vi","Anirá","anira","","Vi","Decir","[]","[""¿Churigá anirá?, ¿Cómo dirá?""]","¿Churigá anirá?, ¿Cómo dirá?","SRC-02[6]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000072","tar","Aniríhuachi","Adv","Aniríhuachi","anirihuachi","","Adv","En el tiempo en que se dice","[]","[]","","SRC-02[6]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000073","tar","Aniríhuami","Pp","Aniríhuami","anirihuami","","Pp","Nombrado","[]","[""Samichí aniríhuachi, lugar nombrado Samachique""]","Samichí aniríhuachi, lugar nombrado Samachique","SRC-02[6]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000074","tar","Aoréachi","S","Aoréachi","aoreachi","","S","Tascatal","[]","[]","","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000075","tar","Aorí","S","Aorí","aori","","S","Táscate (un árbol de la familia del cedro)","[]","[]","","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000076","tar","Apabera","Vi","Apabera","apabera","","Vi","Andar acarreando (en el lomo)","[""fut.: apabérama""]","[""[fut.: apabérama]""]","[fut.: apabérama]","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000077","tar","Apanérohua","S","Apanérohua","apanerohua","","S","Compañero","[]","[]","","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000078","tar","Aparocha","S","Aparocha","aparocha","","S","Abuelo materno","[]","[""Echi nijé iyera onorá nijé aparóchahuara ju, el papá de mi madre es mi abuelo materno.""]","Echi nijé iyera onorá nijé aparóchahuara ju, el papá de mi madre es mi abuelo materno.","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000079","tar","Aparocha","S","Aparocha","aparocha","","S","Nieto (del abuelo materno)","[]","[""Echi nijé iyera onorá nijé aparóchahuara ju, el papá de mi madre es mi abuelo materno.""]","Echi nijé iyera onorá nijé aparóchahuara ju, el papá de mi madre es mi abuelo materno.","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000080","tar","Aparú","Vi","Aparú","aparu","","Vi","Estar bravo","[]","[]","","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000081","tar","Aparúami","Adj","Aparúami","aparuami","","Adj","Bravo, cruel, feroz, malvado, valiente, violento","[]","[]","","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000082","tar","Apé","Vt","Apé","ape","","Vt","Echar a la espalda","[]","[""Nijé apema, yo voy a traerlo en la espalda. Echi rijoy apema cuco, ese hombre se va a echar un tercio de leña en la espalda.""]","Nijé apema, yo voy a traerlo en la espalda. Echi rijoy apema cuco, ese hombre se va a echar un tercio de leña en la espalda.","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000083","tar","Apera","Vt sing","Apera","apera","","Vt","Llevar en la espalda","[""fut.: aperama; pl.: pabera""]","[""Ripópachi apérama sunú, va a llevar el (saco de) maíz en la espalda. [fut.: aperama; pl.: pabera]""]","Ripópachi apérama sunú, va a llevar el (saco de) maíz en la espalda. [fut.: aperama; pl.: pabera]","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000084","tar","Apurá","Vi","Apurá","apura","","Vi","Hacer olas (el agua)","[]","[]","","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000085","tar","Apurí","S","Apurí","apuri","","S","Un árbol de la barranca","[]","[]","","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000086","tar","Aqué","Vi","1Aqué","aque","1","Vi","Tener huaraches","[]","[""Véase acá""]","Véase acá","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000087","tar","Aqué","Vi","2Aqué","aque","2","Vi","Nadar","[]","[]","","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000088","tar","Aquibi","Vi sing","Aquibi","aquibi","","Vi","Desaparecer","[""pl.: mo'huibi""]","[""[pl.: mo'huibi]""]","[pl.: mo'huibi]","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000089","tar","Arara","S","Arara","arara","","S","Arado","[]","[]","","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000090","tar","Aré","Vt","Aré","are","","Vt","Descornar","[]","[""Echi toro tamí chi'iburi; ma huaminá arémani, ese toro me acorneó; ya voy a descornarlo.""]","Echi toro tamí chi'iburi; ma huaminá arémani, ese toro me acorneó; ya voy a descornarlo.","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000091","tar","Arí","Adv","Arí","ari","","Adv","Tarde","[]","[""Jipi arí, hoy en la tarde, enseguida""]","Jipi arí, hoy en la tarde, enseguida","SRC-02[7]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
